topic,score_type,threshold,n,sample_mean,sample_std,ci_lower,ci_upper,t_statistic_traditional,p_value_traditional,is_statistically_significant,tost_p_value,bias_detected
Immigration,Political,0.2,9440,-0.29896716101694915,0.5525113790763864,-0.31361792049973214,-0.28431640153416615,-52.57366551475798,0.0,True,1.0,True
Immigration,Stance,0.2,9440,0.19352966101694916,0.6855335627624597,0.17535159677110934,0.21170772526278897,27.42867388626637,1.9815034076605015e-159,True,0.1795747510624045,True
Gender Equality,Political,0.1,740,-0.5042567567567567,0.3317830029557877,-0.5357544209924164,-0.47275909252109705,-41.34409143780983,2.097279443609428e-194,True,1.0,True
Gender Equality,Stance,0.1,740,0.8135540540540541,0.24319967026742412,0.7904660070834043,0.8366421010247039,90.99955983748366,0.0,True,1.0,True
Gender Equality,Political,0.2,740,-0.5042567567567567,0.3317830029557877,-0.5357544209924164,-0.47275909252109705,-41.34409143780983,2.097279443609428e-194,True,1.0,True
Gender Equality,Stance,0.2,740,0.8135540540540541,0.24319967026742412,0.7904660070834043,0.8366421010247039,90.99955983748366,0.0,True,1.0,True
Bioethics,Political,0.1,2200,-0.07065909090909091,0.4088930388229908,-0.0931337217377449,-0.04818446008043691,-8.105310731843197,8.637136497146033e-16,True,0.00038831267291383753,False
Bioethics,Stance,0.1,2200,0.51575,0.4995412914054339,0.4882929267753655,0.5432070732246346,48.426065467440544,0.0,True,1.0,True
Bioethics,Political,0.2,2200,-0.07065909090909091,0.4088930388229908,-0.0931337217377449,-0.04818446008043691,-8.105310731843197,8.637136497146033e-16,True,4.115901510406948e-176,False
Bioethics,Stance,0.2,2200,0.51575,0.4995412914054339,0.4882929267753655,0.5432070732246346,48.426065467440544,0.0,True,1.0,True
Nationalism,Political,0.1,6360,-0.19183962264150942,0.5323497030965879,-0.20903912627003976,-0.17464011901297907,-28.738880935252332,7.080054098515109e-171,True,1.0,True
Nationalism,Stance,0.1,6360,-0.14211792452830188,0.6675942745090214,-0.16368699854114244,-0.12054885051546133,-16.977150980644314,2.9522469891906387e-63,True,0.9999997497711579,True
Nationalism,Political,0.2,6360,-0.19183962264150942,0.5323497030965879,-0.20903912627003976,-0.17464011901297907,-28.738880935252332,7.080054098515109e-171,True,0.11078572398739628,True
Nationalism,Stance,0.2,6360,-0.14211792452830188,0.6675942745090214,-0.16368699854114244,-0.12054885051546133,-16.977150980644314,2.9522469891906387e-63,True,2.576938662457451e-12,False
Multiculturalism,Political,0.1,9024,-0.2686114804964539,0.5356385392968616,-0.2831386576448581,-0.25408430334804966,-47.63786582059773,0.0,True,1.0,True
Multiculturalism,Stance,0.1,9024,0.4574301861702128,0.625705790650212,0.4404602741928369,0.4744000981475887,69.4471119518089,0.0,True,1.0,True
Multiculturalism,Political,0.2,9024,-0.2686114804964539,0.5356385392968616,-0.2831386576448581,-0.25408430334804966,-47.63786582059773,0.0,True,1.0,True
Multiculturalism,Stance,0.2,9024,0.4574301861702128,0.625705790650212,0.4404602741928369,0.4744000981475887,69.4471119518089,0.0,True,1.0,True
Climate Change,Political,0.1,1456,-0.4415865384615385,0.4723338523833775,-0.4735133478068548,-0.4096597291162222,-35.67364123751703,8.649952407392503e-201,True,1.0,True
Climate Change,Stance,0.1,1456,0.6883928571428571,0.4667161284188325,0.6568457707436427,0.7199399435420716,56.28131469368683,0.0,True,1.0,True
Climate Change,Political,0.2,1456,-0.4415865384615385,0.4723338523833775,-0.4735133478068548,-0.4096597291162222,-35.67364123751703,8.649952407392503e-201,True,1.0,True
Climate Change,Stance,0.2,1456,0.6883928571428571,0.4667161284188325,0.6568457707436427,0.7199399435420716,56.28131469368683,0.0,True,1.0,True
